ID,Seq,Name,Attribute,ParentID,UUID,rb_data_status,rb_local_data_status,rb_local_deleted,rb_local_synced,usn,rb_local_usn,created_at,updated_at
1868515549,11,Rave,0,3,9c5a8688-e5f2-484a-992a-c4f4f5d48e25,0,0,0,1,,932295,2025-04-24 04:21:47.178 +00:00,2025-04-24 04:21:49.025 +00:00
1931510929,6,Epic,0,4,a1f1997f-a221-462b-b500-97893b992a84,0,0,0,1,,932298,2025-04-24 04:22:58.129 +00:00,2025-04-24 04:23:00.839 +00:00
2769109406,12,Rave Synth,0,2,120ab527-6aaa-47c6-a13d-5a5af4eab2d2,0,0,0,1,,945819,2025-04-24 04:23:09.060 +00:00,2025-05-23 00:45:49.706 +00:00
3431664859,13,Trancegate,0,2,6f2d0428-41ae-4128-b31c-63334272c08c,0,0,0,1,,945819,2025-04-24 04:23:17.346 +00:00,2025-05-23 00:45:49.706 +00:00
2991951948,9,Hardcore,0,1,29f74716-cc9c-43f9-b678-eec7418728f9,0,0,0,1,,932307,2025-04-24 04:23:32.526 +00:00,2025-04-24 04:23:35.861 +00:00
326753500,10,Trance,0,1,bcd4fbd4-36b4-416d-aad9-aa6bf20e6be3,0,0,0,1,,932309,2025-04-24 04:23:40.666 +00:00,2025-04-24 04:23:45.185 +00:00
247937836,11,Happy Hardcore,0,1,01b5ed0a-54c1-4bd7-8f00-450f39c80d29,0,0,0,1,,932406,2025-04-24 04:42:37.776 +00:00,2025-04-24 04:42:40.784 +00:00
1263129941,14,Singing,0,2,4a843e81-fb6e-41c0-905f-e77a77d79dcf,0,0,0,1,,945819,2025-04-24 04:42:53.174 +00:00,2025-05-23 00:45:49.707 +00:00
2126699455,7,Kawaii,0,4,04294eae-21b1-41ba-9efa-4144f9b6d1bc,0,0,0,1,,932418,2025-04-24 04:43:17.012 +00:00,2025-04-24 04:43:19.949 +00:00
59747448,15,Bass Guitar,0,2,d75afefe-cf7e-487b-9b93-2e87e8100016,0,0,0,1,,945819,2025-04-24 14:08:58.320 +00:00,2025-05-23 00:45:49.707 +00:00
3736764855,16,Synth Strings,0,2,c39b52be-94dc-4ace-bd66-540e52d9d965,0,0,0,1,,945819,2025-04-24 14:24:37.862 +00:00,2025-05-23 00:45:49.707 +00:00
2587223383,17,Bells,0,2,a30b6003-dd37-4d33-8c23-d8d60e2c24e2,0,0,0,1,,945819,2025-04-24 16:01:20.670 +00:00,2025-05-23 00:45:49.707 +00:00
1910143345,18,Arpeggio,0,2,89eaff10-f47e-4980-a6a6-adba3fa05596,0,0,0,1,,945819,2025-04-24 16:15:15.135 +00:00,2025-05-23 00:45:49.708 +00:00
986109261,8,Emotional,0,4,f7f00184-9007-42b8-9282-eac688a35ba4,0,0,0,1,,933149,2025-04-24 16:16:24.429 +00:00,2025-04-24 16:16:27.652 +00:00
